Date,Open,High,Low,Close,Adj Close,Volume,SMA_30,SMA_100,Buy Signals,Sell Signals
2021-10-06,258.73333740234375,262.2200012207031,257.739990234375,260.9166564941406,260.9166564941406,43898400,250.4888910929362,226.9155014038086,260.9166564941406,
2021-10-07,261.82000732421875,268.3333435058594,261.1266784667969,264.53668212890625,264.53668212890625,57587400,251.40455830891926,227.63810150146483,,
2021-10-08,265.4033203125,265.4599914550781,260.3033447265625,261.8299865722656,261.8299865722656,50215800,252.34155782063803,228.3301679992676,,
2021-10-11,262.54998779296875,267.0799865722656,261.8333435058594,263.9800109863281,263.9800109863281,42600900,253.230669148763,229.09176803588866,,
2021-10-12,266.9766540527344,270.7733459472656,265.5233459472656,268.5733337402344,268.5733337402344,66060000,254.0618911743164,229.82156799316405,,
2021-10-13,270.15667724609375,271.8033447265625,268.59332275390625,270.3599853515625,270.3599853515625,42360300,254.89922383626302,230.58890121459962,,
2021-10-14,271.8299865722656,273.4166564941406,271.1166687011719,272.7733459472656,272.7733459472656,36741600,255.83511301676432,231.2951679992676,,
2021-10-15,274.5799865722656,281.07000732421875,274.1166687011719,281.010009765625,281.010009765625,56773800,257.06444651285807,232.08963470458986,,
2021-10-18,283.92999267578125,291.7533264160156,283.8233337402344,290.03668212890625,290.03668212890625,72621600,258.58155822753906,232.92623489379883,,
2021-10-19,292.510009765625,292.6499938964844,287.5033264160156,288.0899963378906,288.0899963378906,52143300,259.81878051757815,233.7043014526367,,
2021-10-20,288.45001220703125,289.8299865722656,285.7933349609375,288.6000061035156,288.6000061035156,42096300,261.0624476114909,234.50623489379882,,
2021-10-21,285.3333435058594,300.0,285.1666564941406,298.0,298.0,94444500,262.6084477742513,235.40656829833983,,
2021-10-22,298.5,303.3333435058594,296.9866638183594,303.2266540527344,303.2266540527344,68642400,264.5352249145508,236.42176818847656,,
2021-10-25,316.84332275390625,348.3399963378906,314.73333740234375,341.6199951171875,341.6199951171875,188556300,267.66700236002606,237.92850143432617,,
2021-10-26,341.5633239746094,364.9800109863281,333.8133239746094,339.4766540527344,339.4766540527344,187245000,270.7107798258464,239.32643463134767,,
2021-10-27,346.5533447265625,356.9599914550781,343.59332275390625,345.9533386230469,345.9533386230469,115579500,273.8444468180339,240.76886795043944,,
2021-10-28,356.10333251953125,360.3333435058594,351.3999938964844,359.0133361816406,359.0133361816406,81639600,277.40055796305336,242.3470346069336,,
2021-10-29,360.6199951171875,371.7366638183594,357.7366638183594,371.3333435058594,371.3333435058594,89755200,281.33955841064454,244.06443466186522,,
2021-11-01,381.6666564941406,403.25,372.88665771484375,402.86334228515625,402.86334228515625,168146100,286.65533650716145,246.05933471679688,,
2021-11-02,386.4533386230469,402.86334228515625,382.0,390.6666564941406,390.6666564941406,128213400,291.4622248331706,247.93303466796874,,
2021-11-03,392.4433288574219,405.1300048828125,384.2066650390625,404.6199951171875,404.6199951171875,103885500,296.5946690877279,249.92026794433593,,
2021-11-04,411.4700012207031,414.4966735839844,405.6666564941406,409.9700012207031,409.9700012207031,76192200,301.8865580240885,252.0221012878418,,
2021-11-05,409.3333435058594,413.2900085449219,402.6666564941406,407.36334228515625,407.36334228515625,64886400,306.8610026041667,254.07950134277343,,
2021-11-08,383.2633361816406,399.0,377.6666564941406,387.64666748046875,387.64666748046875,100337100,310.9896687825521,255.9006346130371,,
2021-11-09,391.20001220703125,391.5,337.17333984375,341.1666564941406,341.1666564941406,177317400,313.7223347981771,257.2346011352539,,
2021-11-10,336.8033447265625,359.3666687011719,329.10333251953125,355.98333740234375,355.98333740234375,128408100,316.9072235107422,258.7250012207031,,
2021-11-11,367.5899963378906,368.3233337402344,351.55999755859375,354.5033264160156,354.5033264160156,67189800,320.10755615234376,260.1910011291504,,
2021-11-12,349.1666564941406,351.5,339.73333740234375,344.47332763671875,344.47332763671875,76719300,322.9764444986979,261.4471676635742,,
2021-11-15,339.2099914550781,343.99334716796875,326.20001220703125,337.7966613769531,337.7966613769531,104326800,325.55266621907555,262.5590675354004,,
2021-11-16,334.4366760253906,352.3999938964844,334.05999755859375,351.57666015625,351.57666015625,79627200,328.5986663818359,263.83526748657226,,
2021-11-17,354.5033264160156,373.21331787109375,351.8333435058594,363.0033264160156,363.0033264160156,94336200,332.0015553792318,265.16956741333007,,
2021-11-18,368.8500061035156,370.6666564941406,358.3399963378906,365.4599914550781,365.4599914550781,62696700,335.36566569010415,266.5549673461914,,
2021-11-19,366.2900085449219,379.5733337402344,364.23333740234375,379.0199890136719,379.0199890136719,64926900,339.2719991048177,268.07950057983396,,
2021-11-22,387.4433288574219,400.6499938964844,377.4766540527344,385.6233215332031,385.6233215332031,99217500,343.3267761230469,269.67600051879884,,
2021-11-23,389.1700134277344,393.5,354.23333740234375,369.6766662597656,369.6766662597656,108515100,346.69688720703124,271.1097671508789,,
2021-11-24,360.1300048828125,377.5899963378906,354.0,372.0,372.0,67680600,350.0848876953125,272.6311671447754,,
2021-11-26,366.489990234375,369.59332275390625,360.3333435058594,360.6400146484375,360.6400146484375,35042700,353.01377665201824,274.0887339782715,,
2021-11-29,366.9966735839844,380.8900146484375,366.7300109863281,378.9966735839844,378.9966735839844,58393500,356.2799987792969,275.70266738891604,,
2021-11-30,381.4566650390625,389.3333435058594,372.6666564941406,381.586669921875,381.586669921875,81276000,359.3316650390625,277.32870071411133,,
2021-12-01,386.8999938964844,390.9466552734375,363.586669921875,365.0,365.0,68450400,361.89533182779945,278.6930340576172,,
2021-12-02,366.35333251953125,371.0,352.2166748046875,361.5333251953125,361.5333251953125,73114800,364.3264424641927,280.0799006652832,,
2021-12-03,361.5966796875,363.52667236328125,333.4033203125,338.3233337402344,338.3233337402344,92322000,365.67055358886716,281.2852006530762,,
2021-12-06,333.836669921875,340.5466613769531,316.8333435058594,336.336669921875,336.336669921875,81663000,366.7742207845052,282.4799006652832,,
2021-12-07,348.0666809082031,352.5566711425781,342.2699890136719,350.5833435058594,350.5833435058594,56084700,367.0729990641276,283.83833404541014,,
2021-12-08,350.9033203125,357.4599914550781,344.3333435058594,356.32000732421875,356.32000732421875,41906400,367.6344441731771,285.2474674987793,,
2021-12-09,353.5466613769531,354.163330078125,334.1199951171875,334.6000061035156,334.6000061035156,59438400,367.25599975585936,286.39180084228514,,
2021-12-10,336.25,340.32666015625,327.510009765625,339.010009765625,339.010009765625,59664300,366.58922220865884,287.5976010131836,,
2021-12-13,333.6966552734375,335.0,317.1400146484375,322.13665771484375,322.13665771484375,78595500,364.94933268229164,288.6547676086426,,
2021-12-14,315.0,322.13665771484375,310.0,319.5033264160156,319.5033264160156,70806300,362.17066548665366,289.70520080566405,,
2021-12-15,317.7366638183594,326.25,309.4166564941406,325.3299865722656,325.3299865722656,75169200,359.99277648925784,290.7664340209961,,
2021-12-16,331.5,331.6600036621094,307.2833251953125,308.97332763671875,308.97332763671875,82771500,356.80455423990884,291.70690063476565,,
2021-12-17,304.92333984375,320.2200012207031,303.0133361816406,310.8566589355469,310.8566589355469,100437300,353.500776163737,292.6588671875,,
